Date,Last Price,Volume,SMAVG (15)
2024-04-12,225.0,1159575,1244618.0
2024-04-11,226.1,1295033,1226909.0
2024-04-10,224.4,1009832,1216277.0
2024-04-09,221.8,1447904,1208663.0
2024-04-08,219.8,1331099,1386481.0
2024-04-05,219.5,1513062,1408051.0
2024-04-04,224.9,1147911,1429572.0
2024-04-03,226.4,1290465,1476711.0
2024-04-02,227.1,1069854,1487292.0
2024-03-28,229.7,1361437,1492142.0
2024-03-27,226.75,1021246,1491603.0
2024-03-26,227.2,918311,1482696.0
2024-03-25,225.5,706443,1516218.0
2024-03-22,225.3,1116961,1539758.0
2024-03-21,225.05,2280129,1537114.0
2024-03-20,230.95,893947,1486804.0
2024-03-19,229.05,1135547,1495022.0
2024-03-18,229.6,895625,1503371.0
2024-03-15,230.8,4115182,1515482.0
2024-03-14,232.4,1654639,1311012.0
2024-03-13,241.0,1835875,1300037.0
2024-03-12,244.75,1855008,1238745.0
2024-03-11,242.0,1449171,1164710.0
2024-03-08,238.2,1142615,1126002.0
2024-03-07,237.9,1353340,1129341.0
2024-03-06,235.9,887649,1113733.0
2024-03-05,234.7,1421131,1129954.0
2024-03-04,233.55,1059546,1122333.0
2024-03-01,233.2,1077305,1120053.0
2024-02-29,231.95,1525481,1122042.0
2024-02-28,231.0,1017219,1099668.0
2024-02-27,231.95,1260777,1144780.0
2024-02-26,229.15,1077297,1163504.0
2024-02-23,232.4,1048121,1195282.0
2024-02-22,228.85,1490019,1206956.0
2024-02-21,230.85,916498,1290180.0
2024-02-20,232.2,744474,1310508.0
2024-02-19,232.0,868550,1307645.0
2024-02-16,228.2,1192703,1291306.0
2024-02-15,226.95,1119228,1284250.0
2024-02-14,227.2,1130965,1273463.0
2024-02-13,228.5,1306809,1258340.0
2024-02-12,227.5,1025346,1239365.0
2024-02-09,224.9,1107141,1235042.0
2024-02-08,224.9,1189873,1243490.0
2024-02-07,228.2,1693893,1233492.0
2024-02-06,230.55,1541649,1177833.0
2024-02-05,230.5,1553958,1133924.0
2024-02-02,234.1,1223240,1072905.0
2024-02-01,233.5,2738371,1046959.0
2024-01-31,247.1,1221419,923237.0
2024-01-30,246.7,701527,912565.0
2024-01-29,246.75,623471,925300.0
2024-01-26,247.45,1086852,928988.0
2024-01-25,242.0,957434,912522.0
2024-01-24,245.15,904113,918114.0
2024-01-23,243.75,1022187,966016.0
2024-01-22,247.8,960494,934685.0
2024-01-19,244.1,1233870,912994.0
2024-01-18,245.95,1039901,863894.0
