Date,Last Price,SMAVG (15),SMAVG (50),SMAVG (200)
2024-11-08,96.508,96.295,96.105,94.184
2024-11-07,96.544,96.306,96.093,94.16
2024-11-06,96.447,96.286,96.08,94.133
2024-11-05,96.054,96.276,96.071,94.106
2024-11-04,97.012,96.273,96.066,94.083
2024-11-01,96.809,96.174,96.049,94.055
2024-10-31,96.705,96.07,96.039,94.027
2024-10-30,96.053,95.955,96.03,94.001
2024-10-29,96.05,95.91,96.042,93.981
2024-10-28,96.257,95.887,96.055,93.961
2024-10-25,96.367,95.87,96.06,93.939
2024-10-24,95.886,95.865,96.058,93.915
2024-10-23,95.566,95.91,96.061,93.893
2024-10-22,95.83,95.965,96.079,93.874
2024-10-21,96.339,96.022,96.093,93.856
2024-10-18,96.676,96.033,96.095,93.835
2024-10-17,96.239,96.017,96.084,93.813
2024-10-16,96.29,96.015,96.081,93.799
2024-10-15,96.015,95.991,96.077,93.785
2024-10-14,95.526,95.983,96.088,93.774
2024-10-11,95.244,95.998,96.112,93.765
2024-10-10,94.992,96.015,96.137,93.756
2024-10-09,95.366,96.062,96.157,93.748
2024-10-08,95.711,96.101,96.163,93.74
2024-10-07,96.01,96.152,96.16,93.731
2024-10-04,96.286,96.182,96.15,93.721
2024-10-03,96.553,96.18,96.132,93.711
2024-10-02,96.392,96.147,96.102,93.697
2024-10-01,96.684,96.134,96.075,93.683
2024-09-30,96.518,96.091,96.038,93.665
2024-09-27,96.432,96.049,96.004,93.645
2024-09-26,96.212,96.019,95.973,93.626
2024-09-25,95.929,96.007,95.95,93.61
2024-09-24,95.89,96.014,95.932,93.595
2024-09-23,95.744,96.019,95.91,93.581
2024-09-20,95.505,96.009,95.886,93.565
2024-09-19,95.7,96.034,95.867,93.55
2024-09-18,95.955,96.048,95.84,93.53
2024-09-17,96.464,96.051,95.803,93.508
2024-09-16,96.47,96.008,95.76,93.481
2024-09-13,96.257,95.984,95.712,93.453
2024-09-12,96.047,95.99,95.663,93.422
2024-09-11,96.205,96.002,95.623,93.394
2024-09-10,96.031,96.031,95.57,93.366
2024-09-09,95.889,96.077,95.528,93.34
2024-09-06,95.985,96.12,95.508,93.313
2024-09-05,96.027,96.136,95.479,93.285
2024-09-04,96.037,96.137,95.449,93.256
2024-09-03,95.971,96.167,95.419,93.226
2024-09-02,95.585,96.204,95.385,93.196
2024-08-30,95.887,96.263,95.357,93.164
2024-08-29,95.915,96.276,95.318,93.131
2024-08-28,96.0,96.287,95.269,93.098
2024-08-27,95.809,96.295,95.217,93.065
2024-08-26,96.12,96.343,95.168,93.028
2024-08-23,96.344,96.385,95.113,92.987
2024-08-22,96.229,96.395,95.042,92.95
2024-08-21,96.641,96.38,94.971,92.912
2024-08-20,96.716,96.315,94.878,92.874
2024-08-19,96.537,96.239,94.779,92.835
2024-08-16,96.221,96.168,94.689,92.797
2024-08-15,96.047,96.114,94.609,92.761
2024-08-14,96.479,96.046,94.536,92.726
2024-08-13,96.532,95.95,94.446,92.688
2024-08-12,96.461,95.839,94.351,92.651
2024-08-09,96.095,95.728,94.257,92.613
2024-08-08,96.081,95.647,94.167,92.576
2024-08-07,96.113,95.578,94.083,92.538
2024-08-06,96.531,95.506,94.011,92.5
2024-08-05,96.751,95.391,93.932,92.461
2024-08-02,96.496,95.245,93.85,92.423
2024-07-31,95.996,95.116,93.772,92.387
2024-07-30,95.669,95.006,93.709,92.351
2024-07-29,95.576,94.901,93.654,92.32
2024-07-26,95.465,94.816,93.605,92.287
2024-07-25,95.421,94.722,93.561,92.254
2024-07-24,95.017,94.616,93.519,92.219
2024-07-23,95.05,94.55,93.475,92.186
2024-07-22,94.856,94.453,93.433,92.151
2024-07-19,94.796,94.391,93.397,92.12
2024-07-18,94.893,94.395,93.365,92.089
2024-07-17,95.041,94.373,93.336,92.061
2024-07-16,95.039,94.337,93.299,92.027
2024-07-15,94.801,94.304,93.261,91.998
2024-07-12,94.566,94.269,93.223,91.971
2024-07-11,94.551,94.243,93.196,91.945
2024-07-10,94.343,94.202,93.174,91.919
2024-07-09,94.102,94.146,93.15,91.895
2024-07-08,94.299,94.096,93.122,91.871
2024-07-05,94.058,94.034,93.091,91.845
2024-07-04,93.823,93.991,93.071,91.82
2024-07-03,94.039,93.921,93.054,91.798
2024-07-02,93.592,93.831,93.029,91.777
2024-07-01,93.922,93.724,93.016,91.756
2024-06-28,94.855,93.579,92.997,91.732
2024-06-27,94.571,93.391,92.958,91.705
2024-06-26,94.493,93.236,92.931,91.68
2024-06-25,94.552,93.095,92.909,91.656
2024-06-24,94.263,92.925,92.877,91.633
2024-06-21,94.182,92.758,92.859,91.613
2024-06-20,93.934,92.597,92.844,91.594
2024-06-19,93.499,92.439,92.826,91.577
2024-06-18,93.364,92.331,92.818,91.564
2024-06-17,93.369,92.276,92.816,91.549
2024-06-14,93.403,92.225,92.806,91.535
2024-06-13,92.779,92.175,92.8,91.52
2024-06-12,92.682,92.162,92.821,91.506
2024-06-11,91.989,92.172,92.843,91.494
2024-06-10,91.746,92.234,92.874,91.485
2024-06-07,92.044,92.325,92.914,91.475
2024-06-06,92.238,92.407,92.95,91.461
2024-06-05,92.38,92.478,92.978,91.449
2024-06-04,91.996,92.51,92.99,91.433
2024-06-03,91.761,92.571,93.001,91.422
2024-05-31,91.778,92.659,93.014,91.411
2024-05-30,91.564,92.755,93.026,91.399
2024-05-29,91.879,92.88,93.052,91.388
2024-05-28,92.526,92.968,93.074,91.379
2024-05-27,92.606,93.006,93.085,91.367
2024-05-24,92.655,93.028,93.103,91.356
2024-05-23,92.593,93.063,93.12,91.341
2024-05-22,92.83,93.123,93.136,91.327
2024-05-21,92.915,93.142,93.146,91.311
2024-05-17,93.107,93.128,93.154,91.297
2024-05-16,93.276,93.105,93.148,91.282
2024-05-15,93.31,93.088,93.138,91.266
2024-05-14,92.86,93.068,93.123,91.251
2024-05-13,92.911,93.062,93.104,91.239
2024-05-10,93.07,93.064,93.081,91.227
2024-05-08,93.221,93.059,93.057,91.216
2024-05-07,93.443,93.037,93.038,91.203
2024-05-06,93.196,93.024,93.007,91.188
2024-05-03,93.092,93.037,92.976,91.175
2024-05-02,92.947,93.027,92.952,91.166
2024-04-30,93.171,93.054,92.921,91.153
2024-04-29,93.497,93.07,92.884,91.139
2024-04-26,93.108,93.039,92.848,91.121
2024-04-25,92.708,93.04,92.814,91.102
2024-04-24,92.765,93.076,92.793,91.083
2024-04-23,93.028,93.082,92.76,91.065
2024-04-22,92.997,93.088,92.719,91.047
2024-04-19,92.769,93.143,92.682,91.03
2024-04-18,92.945,93.213,92.656,91.018
2024-04-17,92.991,93.252,92.626,91.006
2024-04-16,92.899,93.3,92.592,90.993
2024-04-15,93.242,93.364,92.573,90.981
2024-04-12,93.39,93.39,92.558,90.966
2024-04-11,92.949,93.362,92.531,90.953
2024-04-10,93.355,93.338,92.502,90.942
2024-04-09,93.4,93.273,92.47,90.931
2024-04-08,93.042,93.207,92.432,90.917
2024-04-05,93.124,93.192,92.405,90.9
2024-04-04,93.25,93.183,92.364,90.885
2024-04-03,92.854,93.173,92.318,90.87
2024-04-02,93.114,93.215,92.291,90.852
2024-03-28,93.818,93.242,92.256,90.834
