Date,Last Price,Volume,SMAVG (15)
2024-03-27,485.0,279446,334593.0
2024-03-26,485.4,239445,329038.0
2024-03-25,485.2,285090,324859.0
2024-03-22,484.9,220369,320515.0
2024-03-21,485.6,320220,320985.0
2024-03-20,488.1,289227,328828.0
2024-03-19,486.3,336036,331133.0
2024-03-18,485.5,295672,321739.0
2024-03-15,486.6,928971,318162.0
2024-03-14,486.6,324644,274236.0
2024-03-13,487.3,323329,300090.0
2024-03-12,485.3,252170,294521.0
2024-03-11,482.7,282672,299933.0
2024-03-08,478.4,288322,289172.0
2024-03-07,478.8,353278,284371.0
2024-03-06,474.3,196118,273965.0
2024-03-05,470.2,176766,278565.0
2024-03-04,465.5,219938,281492.0
2024-03-01,467.0,227412,285886.0
2024-02-29,470.0,437869,286194.0
2024-02-28,470.4,323801,280795.0
2024-02-27,465.0,195122,271832.0
2024-02-26,465.3,242025,270262.0
2024-02-23,463.0,270078,264874.0
2024-02-22,458.9,712446,259863.0
2024-02-21,447.1,239792,233394.0
2024-02-20,443.9,333354,232941.0
2024-02-19,440.5,121266,230450.0
2024-02-16,441.4,216303,233731.0
2024-02-15,441.6,197178,230735.0
2024-02-14,437.4,265122,228889.0
2024-02-13,436.3,220671,227197.0
2024-02-12,432.3,285845,230240.0
2024-02-09,429.9,232031,226539.0
2024-02-08,432.7,356886,232058.0
2024-02-07,441.4,189358,226973.0
2024-02-06,439.8,171576,233589.0
2024-02-05,440.7,161198,238210.0
2024-02-02,437.3,194924,238979.0
2024-02-01,432.4,315401,243697.0
2024-01-31,439.1,233008,241686.0
2024-01-30,438.4,295984,244779.0
2024-01-29,444.0,170479,242781.0
2024-01-26,442.7,171360,244545.0
2024-01-25,441.8,169495,245903.0
2024-01-24,441.4,239732,254748.0
2024-01-23,438.9,266321,258475.0
2024-01-22,441.8,230337,250407.0
2024-01-19,434.2,314817,245789.0
2024-01-18,430.2,280600,234320.0
2024-01-17,434.3,288596,226043.0
2024-01-16,442.4,240891,219778.0
2024-01-15,439.0,172742,220026.0
2024-01-12,436.9,265695,227143.0
2024-01-11,432.8,285232,225568.0
2024-01-10,435.9,279410,268333.0
2024-01-09,439.0,266001,283139.0
2024-01-08,437.2,196946,288424.0
2024-01-05,437.6,191735,294670.0
2024-01-04,438.5,302167,299874.0
2024-01-03,443.2,295637,301336.0
2023-12-29,439.6,145296,298499.0
2023-12-28,435.8,161070,307172.0
2023-12-27,438.6,142789,311166.0
2023-12-22,440.7,156437,311754.0
2023-12-21,440.4,194620,316187.0
2023-12-20,442.8,244610,345154.0
2023-12-19,443.4,279495,344200.0
2023-12-18,443.4,242074,335600.0
2023-12-15,444.5,926701,329269.0
2023-12-14,445.6,501506,284161.0
2023-12-13,453.7,345284,269394.0
2023-12-12,452.4,290624,262070.0
2023-12-11,449.7,269801,259472.0
2023-12-08,450.6,324094,254717.0
2023-12-07,450.2,253084,255039.0
2023-12-06,447.0,275390,262799.0
2023-12-05,444.4,220988,267053.0
2023-12-04,441.0,151599,267418.0
2023-12-01,438.7,222938,280137.0
2023-11-30,437.9,629128,288812.0
2023-11-29,435.5,230295,274982.0
2023-11-28,434.9,150496,278405.0
2023-11-27,435.8,147114,279076.0
2023-11-24,435.8,250069,285953.0
2023-11-23,433.8,280011,283479.0
2023-11-22,431.6,235426,283005.0
