Date,Last Price
2024-03-15 14:00:00,100.442
2024-03-14 14:00:00,100.513
2024-03-13 14:00:00,100.527
2024-03-12 14:00:00,100.539
2024-03-11 14:00:00,100.553
2024-03-08 14:00:00,100.592
2024-03-07 14:00:00,100.548
2024-03-06 14:00:00,100.56
2024-03-05 14:00:00,100.57
2024-03-04 14:00:00,100.572
2024-03-01 14:00:00,100.574
2024-02-29 14:00:00,100.574
2024-02-28 14:00:00,100.502
2024-02-27 14:00:00,100.494
2024-02-26 14:00:00,100.531
2024-02-23 14:00:00,100.569
2024-02-22 14:00:00,100.515
2024-02-21 14:00:00,100.528
2024-02-20 14:00:00,100.583
2024-02-19 14:00:00,100.531
2024-02-16 14:00:00,100.521
2024-02-15 14:00:00,100.553
2024-02-14 14:00:00,100.571
2024-02-13 14:00:00,100.574
2024-02-12 14:00:00,100.488
2024-02-09 14:00:00,100.415
2024-02-08 14:00:00,100.457
2024-02-07 14:00:00,100.51
2024-02-06 14:00:00,100.519
2024-02-05 14:00:00,100.499
2024-02-02 14:00:00,100.601
2024-02-01 14:00:00,100.655
2024-01-31 14:00:00,100.659
2024-01-30 14:00:00,100.621
2024-01-29 14:00:00,100.658
2024-01-26 14:00:00,100.61
2024-01-25 14:00:00,100.59
2024-01-24 14:00:00,100.507
2024-01-23 14:00:00,100.515
2024-01-22 14:00:00,100.55
2024-01-19 14:00:00,100.576
2024-01-18 14:00:00,100.588
2024-01-17 14:00:00,100.585
2024-01-16 14:00:00,100.645
2024-01-15 14:00:00,100.641
2024-01-12 14:00:00,100.659
2024-01-11 14:00:00,100.547
2024-01-10 14:00:00,100.485
2024-01-09 14:00:00,100.5
2024-01-08 14:00:00,100.527
2024-01-05 14:00:00,100.521
2024-01-04 14:00:00,100.532
2024-01-03 14:00:00,100.616
2023-12-29 14:00:00,100.666
2023-12-28 14:00:00,100.679
2023-12-27 14:00:00,100.63
2023-12-22 14:00:00,100.627
2023-12-21 14:00:00,100.636
2023-12-20 14:00:00,100.66
2023-12-19 14:00:00,100.697
2023-12-18 14:00:00,100.703
2023-12-15 14:00:00,100.775
2023-12-14 14:00:00,100.792
2023-12-13 14:00:00,100.645
2023-12-12 14:00:00,100.598
2023-12-11 14:00:00,100.578
2023-12-08 14:00:00,100.557
2023-12-07 14:00:00,100.616
2023-12-06 14:00:00,100.636
2023-12-05 14:00:00,100.657
2023-12-04 14:00:00,100.647
2023-12-01 14:00:00,100.629
2023-11-30 14:00:00,100.461
2023-11-29 14:00:00,100.425
