Date,Last Price,SMAVG (15),SMAVG (50),SMAVG (200)
2024-11-08,107.752,107.782,107.763,107.569
2024-11-07,107.805,107.794,107.763,107.57
2024-11-06,107.807,107.8,107.763,107.569
2024-11-05,107.632,107.805,107.763,107.569
2024-11-04,107.822,107.816,107.764,107.57
2024-11-01,107.843,107.806,107.764,107.57
2024-10-31,107.749,107.79,107.764,107.57
2024-10-30,107.729,107.773,107.765,107.571
2024-10-29,107.786,107.763,107.769,107.572
2024-10-28,107.852,107.754,107.772,107.573
2024-10-25,107.832,107.745,107.772,107.574
2024-10-24,107.778,107.739,107.772,107.573
2024-10-23,107.74,107.743,107.772,107.573
2024-10-22,107.741,107.751,107.777,107.572
2024-10-21,107.864,107.763,107.781,107.573
2024-10-18,107.931,107.767,107.782,107.572
2024-10-17,107.898,107.764,107.781,107.572
2024-10-16,107.88,107.763,107.78,107.573
2024-10-15,107.797,107.756,107.779,107.576
2024-10-14,107.669,107.755,107.783,107.579
2024-10-11,107.6,107.756,107.792,107.582
2024-10-10,107.504,107.749,107.802,107.586
2024-10-09,107.57,107.753,107.806,107.59
2024-10-08,107.65,107.758,107.809,107.594
2024-10-07,107.717,107.766,107.808,107.598
2024-10-04,107.74,107.772,107.808,107.602
2024-10-03,107.847,107.773,107.807,107.607
2024-10-02,107.851,107.767,107.801,107.611
2024-10-01,107.928,107.765,107.796,107.614
2024-09-30,107.923,107.753,107.786,107.615
2024-09-27,107.889,107.739,107.778,107.617
2024-09-26,107.882,107.73,107.771,107.618
2024-09-25,107.77,107.722,107.766,107.62
2024-09-24,107.787,107.725,107.763,107.624
2024-09-23,107.683,107.726,107.758,107.627
2024-09-20,107.49,107.727,107.755,107.631
2024-09-19,107.571,107.743,107.756,107.635
2024-09-18,107.636,107.758,107.753,107.637
2024-09-17,107.771,107.77,107.747,107.638
2024-09-16,107.805,107.766,107.74,107.639
2024-09-13,107.768,107.766,107.733,107.638
2024-09-12,107.757,107.77,107.724,107.636
2024-09-11,107.808,107.774,107.716,107.635
2024-09-10,107.749,107.781,107.706,107.634
2024-09-09,107.726,107.794,107.699,107.634
2024-09-06,107.744,107.805,107.697,107.634
2024-09-05,107.765,107.809,107.693,107.634
2024-09-04,107.821,107.811,107.688,107.634
2024-09-03,107.789,107.82,107.682,107.633
2024-09-02,107.705,107.831,107.675,107.633
2024-08-30,107.736,107.846,107.67,107.632
2024-08-29,107.797,107.854,107.661,107.631
2024-08-28,107.809,107.858,107.646,107.63
2024-08-27,107.707,107.86,107.631,107.63
2024-08-26,107.811,107.879,107.618,107.629
2024-08-23,107.825,107.901,107.604,107.628
2024-08-22,107.816,107.917,107.586,107.627
2024-08-21,107.921,107.912,107.568,107.627
2024-08-20,107.939,107.896,107.545,107.627
2024-08-19,107.883,107.876,107.518,107.626
2024-08-16,107.815,107.863,107.493,107.627
2024-08-15,107.786,107.854,107.47,107.627
2024-08-14,107.964,107.839,107.448,107.628
2024-08-13,107.945,107.814,107.421,107.627
2024-08-12,107.93,107.782,107.394,107.627
2024-08-09,107.857,107.752,107.366,107.626
2024-08-08,107.856,107.732,107.338,107.625
2024-08-07,107.851,107.716,107.313,107.623
2024-08-06,107.989,107.701,107.291,107.622
2024-08-05,108.141,107.673,107.267,107.62
2024-08-02,108.056,107.63,107.24,107.618
2024-07-31,107.744,107.596,107.215,107.617
